barrier_count,case_id,critical_path_ops,distance_ratio,error_code,found,logical_rounds,max_parallel_width,mean_parallel_width,nodes,reentry_count,requested_nodes,seed,serial_fraction,solver,switch_count,topology,total_work,valid,wall_ms,worker_utilization,workers
20,25,407,1.1218586769631131,,True,387,1,1.0,400,1,400,0,0.5,dg5_bulk,1,clustered,690,True,3.149221000057878,1.0,1
42,25,254,1.5234156151506406,,True,212,2,1.9047619047619047,400,1,400,0,0.3442622950819672,dg5_bulk,1,clustered,681,True,2.7759670001614722,0.9523809523809523,2
14,25,145,1.0420776293726255,,True,131,4,3.2857142857142856,400,1,400,0,0.23333333333333334,dg5_bulk,1,clustered,648,True,2.421782999590505,0.8214285714285714,4
10,25,112,1.0420776293726255,,True,102,8,4.6,400,1,400,0,0.17857142857142858,dg5_bulk,1,clustered,648,True,2.6275440004610573,0.575,8
93,26,93,1.0,,True,93,1,1,400,,400,0,1,dijkstra,,scale_free,810,True,1.3989099998070742,1,1
5,26,5,1.0,,True,5,1,1,400,,400,0,1,bidir,,scale_free,22,True,1.321343000199704,1,1
93,26,93,1.0,,True,93,1,1,400,,400,0,1,astar,,scale_free,810,True,1.546884000163118,1,1
14,26,391,1.6666666666666667,,True,377,1,1.0,400,0,400,0,0.5,dg5_bulk,1,scale_free,777,True,1.394644000356493,1.0,1
8,26,196,1.6666666666666667,,True,188,2,1.875,400,0,400,0,0.34782608695652173,dg5_bulk,1,scale_free,775,True,1.6306799998346833,0.9375,2
5,26,98,1.6666666666666667,,True,93,4,3.2,400,0,400,0,0.23809523809523808,dg5_bulk,1,scale_free,766,True,1.7087180003727553,0.8,4
4,26,49,1.6666666666666667,,True,45,8,5.0,400,0,400,0,0.16666666666666666,dg5_bulk,1,scale_free,744,True,1.7172510006275843,0.625,8
400,27,400,1.0,,True,400,1,1,400,,400,1,1,dijkstra,,random_geometric,3738,True,6.1815039998691645,1,1
438,27,438,0.9999999999999999,,True,438,1,1,400,,400,1,1,bidir,,random_geometric,2960,True,10.589222999442427,1,1
